Rank	Player	G	REC	YDS	Y/R	YBC	YBC/R	AIR	AIR/R	YAC	YAC/R	YACON	YACON/R	BRKTKL	TGT	% TM	CATCHABLE	DROP	RZ TGT	10+ YDS	20+ YDS	30+ YDS	40+ YDS	50+ YDS	LNG
69	Eric Saubert (SF)	12	5	74	14.8	43	8.6	63	12.6	31	6.2	2	0.4	0	7	2.1%	6	1	0	4	0	0	0	0	17
70	Hayden Hurst (LAC)	7	7	65	9.3	48	6.9	57	8.1	17	2.4	5	0.7	0	12	3.7%	9	2	3	1	1	0	0	0	27
71	Luke Farrell (JAC)	12	9	55	6.1	27	3.0	70	7.8	28	3.1	14	1.6	1	13	3.6%	10	1	1	1	0	0	0	0	11
72	Stone Smartt (LAC)	10	3	44	14.7	25	8.3	58	19.3	19	6.3	3	1.0	0	5	1.5%	4	1	0	2	1	1	0	0	31
73	John Bates (WAS)	13	6	64	10.7	26	4.3	24	4.0	38	6.3	12	2.0	1	9	2.4%	7	1	0	2	1	0	0	0	20
74	Hunter Long (LAR)	12	5	43	8.6	23	4.6	21	4.2	20	4.0	7	1.4	0	6	1.5%	5	0	0	1	0	0	0	0	18
75	Michael Mayer (LV)	6	8	42	5.3	30	3.8	59	7.4	12	1.5	2	0.3	0	14	3.4%	9	1	4	1	0	0	0	0	11
76	MyCole Pruitt (PIT)	7	4	40	10.0	26	6.5	28	7.0	14	3.5	8	2.0	0	7	2.1%	4	0	0	2	0	0	0	0	18
77	Durham Smythe (MIA)	12	7	40	5.7	27	3.9	70	10.0	13	1.9	1	0.1	0	12	3.1%	8	1	2	0	0	0	0	0	8
78	Ben Sims (GB)	12	3	40	13.3	25	8.3	39	13.0	15	5.0	1	0.3	0	4	1.2%	3	0	1	2	1	0	0	0	28
79	Davis Allen (LAR)	9	6	39	6.5	18	3.0	31	5.2	21	3.5	6	1.0	0	12	3.0%	8	2	5	2	0	0	0	0	13
80	Pharaoh Brown (SEA)	10	5	38	7.6	19	3.8	32	6.4	19	3.8	9	1.8	1	8	1.9%	6	1	0	1	0	0	0	0	13
81	Daniel Bellinger (NYG)	12	3	31	10.3	22	7.3	22	7.3	9	3.0	2	0.7	0	3	0.8%	3	0	0	2	0	0	0	0	17
82	Gerald Everett (CHI)	12	7	30	4.3	-7	-1.0	17	2.4	37	5.3	11	1.6	2	11	2.9%	8	1	1	1	0	0	0	0	17
83	Will Mallory (IND)	8	4	29	7.3	25	6.3	69	17.3	4	1.0	2	0.5	1	7	1.9%	4	0	0	1	0	0	0	0	10
84	Greg Dulcich (NYG)	4	5	28	5.6	13	2.6	71	14.2	15	3.0	4	0.8	0	12	2.9%	7	2	1	0	0	0	0	0	9
85	Peyton Hendershot (KC)	5	3	26	8.7	11	3.7	11	3.7	15	5.0	4	1.3	0	3	0.7%	3	0	1	1	0	0	0	0	11
86	Charlie Woerner (ATL)	11	3	22	7.3	10	3.3	7	2.3	12	4.0	2	0.7	0	5	1.3%	3	0	0	1	0	0	0	0	13
87	Luke Musgrave (GB)	4	5	22	4.4	7	1.4	40	8.0	15	3.0	3	0.6	0	7	2.1%	5	0	0	0	0	0	0	0	6
88	Tanner Conner (MIA)	7	3	16	5.3	11	3.7	46	15.3	5	1.7	2	0.7	0	4	1.0%	3	0	1	1	0	0	0	0	11
89	Tip Reiman (ARI)	12	3	15	5.0	7	2.3	7	2.3	8	2.7	6	2.0	1	3	0.9%	3	0	0	0	0	0	0	0	9
90	Tucker Fisk (LAC)	4	3	14	4.7	4	1.3	6	2.0	10	3.3	1	0.3	0	4	1.2%	3	0	1	0	0	0	0	0	7
91	Eric Tomlinson (LAC)	8	2	9	4.5	-3	-1.5	8	4.0	12	6.0	5	2.5	1	4	1.2%	4	1	1	0	0	0	0	0	7
92	Ian Thomas (CAR)	5	3	7	2.3	1	0.3	25	8.3	6	2.0	1	0.3	0	6	1.6%	4	1	1	0	0	0	0	0	3
