Rank	Player	G	REC	YDS	Y/R	YBC	YBC/R	AIR	AIR/R	YAC	YAC/R	YACON	YACON/R	BRKTKL	TGT	% TM	CATCHABLE	DROP	RZ TGT	10+ YDS	20+ YDS	30+ YDS	40+ YDS	50+ YDS	LNG
136	Rakim Jarrett (TB)	5	7	107	15.3	90	12.9	111	15.9	17	2.4	4	0.6	0	9	2.2%	7	0	1	4	2	1	0	0	30
137	Simi Fehoko (LAC)	8	6	106	17.7	90	15.0	236	39.3	16	2.7	8	1.3	0	16	4.9%	8	2	1	5	2	1	0	0	30
138	Malik Heath (GB)	9	6	41	6.8	31	5.2	31	5.2	10	1.7	4	0.7	0	7	2.1%	6	0	1	1	0	0	0	0	12
139	Mason Tipton (NO)	10	14	99	7.1	72	5.1	320	22.9	27	1.9	7	0.5	1	25	7.0%	16	2	1	2	0	0	0	0	15
140	Xavier Gipson (NYJ)	12	6	39	6.5	17	2.8	112	18.7	22	3.7	6	1.0	0	10	2.4%	7	1	1	2	0	0	0	0	17
141	Kevin Austin Jr. (NO)	3	6	85	14.2	66	11.0	65	10.8	19	3.2	7	1.2	0	7	2.0%	6	0	0	5	1	0	0	0	22
142	Derius Davis (LAC)	10	6	46	7.7	-33	-5.5	1	0.2	79	13.2	17	2.8	1	8	2.5%	6	0	1	2	0	0	0	0	17
143	Parris Campbell (PHI)	5	6	30	5.0	21	3.5	34	5.7	9	1.5	0	0.0	0	8	2.8%	6	0	1	0	0	0	0	0	7
144	Jake Bobo (SEA)	12	10	89	8.9	65	6.5	123	12.3	24	2.4	4	0.4	0	14	3.3%	11	1	1	4	0	0	0	0	15
145	Johnny Wilson (PHI)	11	2	14	7.0	8	4.0	91	45.5	6	3.0	5	2.5	0	8	2.8%	2	0	3	0	0	0	0	0	9
146	Jalen Reagor (LAC)	7	6	96	16.0	71	11.8	120	20.0	25	4.2	1	0.2	0	11	3.4%	6	0	0	4	2	1	1	0	41
147	Xavier Hutchinson (HOU)	12	7	70	10.0	42	6.0	174	24.9	28	4.0	12	1.7	0	18	4.2%	9	2	1	5	0	0	0	0	19
148	Brandon Powell (MIN)	12	6	59	9.8	48	8.0	90	15.0	11	1.8	2	0.3	0	9	2.7%	6	0	0	3	0	0	0	0	13
149	Laviska Shenault Jr. (FA)	11	5	36	7.2	-10	-2.0	-10	-2.0	46	9.2	16	3.2	0	5	1.2%	5	0	0	2	0	0	0	0	18
150	Bryce Oliver (TEN)	5	3	56	18.7	44	14.7	44	14.7	12	4.0	3	1.0	0	3	0.9%	3	0	0	2	1	1	0	0	33
151	Odell Beckham Jr. (MIA)	8	8	54	6.8	41	5.1	164	20.5	13	1.6	3	0.4	0	17	4.3%	9	1	4	1	0	0	0	0	11
152	Jalin Hyatt (NYG)	11	7	53	7.6	47	6.7	261	37.3	6	0.9	2	0.3	0	14	3.6%	9	2	0	1	0	0	0	0	19
153	DeAndre Carter (CHI)	12	9	72	8.0	40	4.4	155	17.2	32	3.6	22	2.4	2	14	3.6%	9	0	3	2	0	0	0	0	14
154	Tyquan Thornton (KC)	6	4	47	11.8	23	5.8	126	31.5	24	6.0	14	3.5	1	8	2.0%	4	0	1	3	0	0	0	0	17
155	Michael Woods II (CLE)	1	3	43	14.3	26	8.7	52	17.3	17	5.7	8	2.7	0	5	1.1%	3	0	1	3	0	0	0	0	16
156	Dante Pettis (NO)	3	3	22	7.3	7	2.3	1	0.3	15	5.0	3	1.0	1	4	1.1%	3	0	0	0	0	0	0	0	9
157	Treylon Burks (TEN)	5	4	34	8.5	29	7.3	135	33.8	5	1.3	5	1.3	1	8	2.3%	6	2	0	2	0	0	0	0	13
158	Britain Covey (PHI)	5	7	34	4.9	6	0.9	9	1.3	28	4.0	3	0.4	0	8	2.8%	8	1	2	1	0	0	0	0	11
159	Devin Duvernay (JAC)	8	3	22	7.3	-1	-0.3	119	39.7	23	7.7	8	2.7	0	7	1.9%	4	1	1	1	0	0	0	0	18
160	Alex Bachman (LV)	5	3	31	10.3	21	7.0	21	7.0	10	3.3	4	1.3	0	3	0.7%	3	0	0	2	0	0	0	0	18
161	Scotty Miller (PIT)	9	2	31	15.5	9	4.5	59	29.5	22	11.0	24	12.0	1	4	1.2%	2	0	0	2	1	0	0	0	20
162	Tim Jones (JAC)	11	2	30	15.0	13	6.5	29	14.5	17	8.5	0	0.0	0	4	1.1%	2	0	0	2	1	0	0	0	20
163	David Bell (CLE)	1	3	27	9.0	19	6.3	19	6.3	8	2.7	6	2.0	0	3	0.7%	3	0	1	1	0	0	0	0	12
164	Ryan Flournoy (DAL)	7	4	44	11.0	26	6.5	52	13.0	18	4.5	7	1.8	0	6	1.3%	5	1	0	3	0	0	0	0	15
165	Ronnie Bell (SF)	8	2	22	11.0	20	10.0	65	32.5	2	1.0	2	1.0	0	6	1.8%	4	2	1	2	0	0	0	0	12
166	Jamari Thrash (CLE)	5	3	22	7.3	8	2.7	8	2.7	14	4.7	2	0.7	0	3	0.7%	3	0	0	1	0	0	0	0	11
167	Malachi Corley (NYJ)	7	3	16	5.3	11	3.7	50	16.7	5	1.7	2	0.7	0	6	1.4%	3	0	2	1	0	0	0	0	10
168	Trenton Irwin (FA)	7	3	15	5.0	11	3.7	62	20.7	4	1.3	0	0.0	0	10	2.3%	4	1	6	0	0	0	0	0	6
169	Deven Thompkins (CAR)	4	3	13	4.3	-14	-4.7	-14	-4.7	27	9.0	10	3.3	0	3	0.8%	3	0	1	1	0	0	0	0	12
170	Allen Robinson II (DET)	8	2	9	4.5	7	3.5	25	12.5	2	1.0	0	0.0	0	5	1.5%	3	1	0	0	0	0	0	0	7
171	Ainias Smith (PHI)	5	3	6	2.0	-1	-0.3	-1	-0.3	7	2.3	0	0.0	0	3	1.1%	3	0	0	0	0	0	0	0	5
172	Robbie Chosen (FA)	2	1	5	5.0	4	4.0	47	47.0	1	1.0	0	0.0	0	4	1.0%	1	0	2	0	0	0	0	0	5
173	Chris Conley (SF)	10	1	4	4.0	4	4.0	156	156.0	0	0.0	0	0.0	0	7	2.1%	1	0	1	0	0	0	0	0	4
174	Braxton Berrios (MIA)	6	0	0	0.0	0	0.0	26	0.0	0	0.0	0	0.0	0	4	1.0%	0	0	1	0	0	0	0	0	0
